metraj,sakht,rooms,elevator,parking,anbari,price,address
۵۴,۱۳۹۶,۱,True,False,True,۴۶٬۲۹۶٬۰۰۰ تومان,یک ربع پیش در تهران، شهرک کیانشهر
۱۲۸,۱۳۸۰,۲,True,True,True,۲۱۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، ولنجک
۱۸۲,۱۴۰۰,۳,True,True,True,۱۲۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد مرکزی
۵۳,۱۳۸۴,۱,False,False,False,۴۷٬۱۶۹٬۰۰۰ تومان,یک ربع پیش در تهران، شهرک شریعتی
۸۰,۱۳۹۰,۲,True,True,True,۶۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، ابوذر (منطقه ۱۵)
۱۰۰,۱۴۰۲,۲,True,True,True,۱۴٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۱۰۰,قبل از ۱۳۷۰,۳,False,False,True,۴۲٬۵۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، شهر زیبا
۱۳۷,۱۳۸۰,۲,True,True,True,۷۰٬۸۰۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، اکباتان
۹۸,۱۴۰۲,۲,True,True,True,۳۲٬۶۵۳٬۰۰۰ تومان,نیم ساعت پیش در تهران، چیتگر
۴۷,۱۳۸۲,۱,False,True,True,۳۸٬۷۲۳٬۰۰۰ تومان,نیم ساعت پیش در تهران، کاروان
۱۶۵,۱۳۹۹,۳,True,True,True,۲۰۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، سعادت‌آباد
۵۳,۱۳۹۵,۱,True,True,True,۲۸٬۳۰۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، آبشار
۴۷,۱۳۹۸,۱,False,False,False,۳۳٬۶۱۷٬۰۰۰ تومان,نیم ساعت پیش در تهران، تهرانپارس شرقی
۱۲۵,۱۳۹۶,۳,True,True,True,۱۶۸٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهرک غرب
۱۴۹,۱۳۸۴,۳,True,True,True,۸۷٬۲۴۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد جنوبی
۱۰۰,۱۴۰۲,۲,True,True,True,۱۶٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۵۸,۱۳۹۲,۱,True,True,False,۲۳٬۲۷۵٬۰۰۰ تومان,یک ربع پیش در تهران، شوش
۴۶,۱۳۸۴,۱,True,True,True,۶۹٬۵۶۵٬۰۰۰ تومان,یک ربع پیش در تهران، منیریه
۲۳۵,۱۳۸۶,۳,True,True,True,۲۴۴٬۶۸۰٬۰۰۰ تومان,یک ربع پیش در تهران، الهیه
۶۰,۱۳۹۹,۱,True,True,False,۵۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، علی‌آباد
۱۱۳,۱۳۸۴,۳,True,True,True,۱۳۱٬۸۵۸٬۰۰۰ تومان,نیم ساعت پیش در تهران، شهرک غرب
۱۸۵,۱۴۰۰,۳,True,True,True,۱۲۴٬۳۲۴٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد جنوبی، میدان چهار باغ
۱۰۰,۱۳۸۹,۲,False,True,True,۷۶٬۵۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد جنوبی
۸۵,۱۳۹۶,۲,True,True,True,۱۲۵٬۸۸۲٬۰۰۰ تومان,نیم ساعت پیش در تهران، پونک
۱۷۰,۱۳۹۲,۳,True,True,True,۱۵۰٬۰۰۰٬۰۰۰ تومان,یک ربع پیش در تهران، ولنجک
۱۰۰,۱۴۰۲,۲,True,True,True,۱۵٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، دریاچه شهدای خلیج فارس
۵۴,۱۳۹۵,۲,True,True,True,۱۶٬۱۱۱٬۰۰۰ تومان,یک ربع پیش در تهران، اندیشه (شهر زیبا)
۲۵۰,۱۳۹۴,۳,True,True,True,۱۶۰٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، آرارات
۱۴۲,۱۳۸۵,۳,False,True,True,۱۱۲٬۶۷۶٬۰۰۰ تومان,نیم ساعت پیش در تهران، قیطریه
۴۳,۱۳۸۹,۱,True,True,True,۱۰۰٬۰۰۰٬۰۰۰ تومان,۱ ساعت پیش در تهران، شهران جنوبی
۱۴۰,۱۴۰۲,۳,True,True,True,۲۶٬۰۰۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، چیتگر
۵۰,۱۳۹۱,۱,True,False,True,۴۳٬۶۵۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، خلیج فارس
۷۱,۱۳۸۹,۲,False,True,True,۷۲٬۵۳۵٬۰۰۰ تومان,نیم ساعت پیش در تهران، باغ فیض
۲۶۰,۱۳۹۲,۴,True,True,True,۱۵۵٬۷۶۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، سعادت‌آباد
۸۱,۱۳۸۰,۲,False,True,True,۶۶٬۰۴۹٬۰۰۰ تومان,نیم ساعت پیش در تهران، کوی فردوس
۷۲,۱۳۹۵,۲,True,True,True,۸۹٬۳۰۵٬۰۰۰ تومان,نیم ساعت پیش در تهران، جنت‌آباد شمالی
۱۳۶,۱۳۹۷,۳,True,True,True,۱۱۶٬۹۱۱٬۰۰۰ تومان,نیم ساعت پیش در تهران، سازمان برنامه
۵۵,۱۴۰۲,۱,True,True,True,۷۴٬۵۴۵٬۰۰۰ تومان,نیم ساعت پیش در تهران، جیحون
۸۳,۱۳۹۳,۲,True,True,False,۴۵٬۰۶۰٬۰۰۰ تومان,نیم ساعت پیش در تهران، شادآباد
